"pubkey","votekey","dz_fee_lamports"
"12i8gndWWWMTRzJBFhnYkobNgZB3XMUUJq75HeUrshrk","Cw2b2ng2fa78ndCXHcJMT1pqvdGxUHu5EBEB8KBshrk",24673519
"13DmVBcyrSdsSsLWaKH9x1dwxDf48Wu5wprwxMmLshrk","GLB3jUr5zuu79zFuEH3KP7boxtWsjHVyYRBK2SPshrk",18693392
"1KXvrkPXwkGF6NK1zyzVuJqbXfpenPVPP6hoiK9bsK3","1KXz4xKV2viJCGpxqnQqdf2J45vQr5USdmtcJLTaHkm",148930160
"1Link6hB1NpkCwJt3ZtpQKZszKauhEcKgiWjaU8PRDG","1LinkCP4qUqGvUiNuAWhAxQyopdBxsh4vhfLBb4apyR",26880811
"1i1yPyh843bTfi5qPgqozTbDcEX65rUNEFcUT2KAs2i","1i1yax3thZfiV8id5HTA61bjsxEi4pbjmhXsqy6JePP",114120548
"23SUe5fzmLws1M58AnGnvnUBRUKJmzCpnFQwv4M4b9Er","4PsiLMyoUQ7QRn1FFiFCvej4hsUTFzfvJnyN4bj1tmSN",303423131
"2AKKnirWVZMhnzuwqpizw9SwfZjGpRFLx2zCCNtPWpbc","CHiaohVV2SQCFhiYP73iQzWT6HxnZqnAZJJqAYTeLAo",123326213
"2Eq6YD8P8QXTeoz9h6JHjgZ55t8RSxNdx4waMDCoPmQU","C8MLmDCg3LReWoNCkFdHgsscFpHx2WdtcU9ZziNfXrhd",33127459
"2Le6TjeEescF87qDA8Ftdz6U8Kq6SNVwoLJLhzBCHUr5","Fe5zMqkmoYbwnXH9RHjFy7YMRnak9so2bzPBroPJ4iiX",21130886
"2N7v8pDKDYhtBUJBQUgxvysUjgM9s4ULPCmeEiPWTf6Z","F3scMRjzSvXUa7JoK2uwBjNsYGi5sM84sDzE7FfGBo6o",101118501
"2P9ZYA4vBoBBr56hrEFTmrd5ctuz3r7wtvRYmbgk6jRL","FGtsnE1HB4bBi6g4xAt5mvWtuC3qBPWPBgWVrnRmUiVH",176093522
"2Rv9npqdWE1mLPsT1r2obn3xtKmA5afkxt8GsWeLnKoc","BrRf2kyJEuW8TgdeDjvJcKK4NzTzRtM9RB6WuVKXHxkN",136800072
"2UBhtRuyr9nvWsUnrbWrvJiYWEU8TVBD4PLYQJKiRa9H","Luna8BkZNpZ9DKmszrZYPvFpTr4eJJfxxTnGDwTrYkv",85475147
"2Ue9zGmDnvYRrJNEjuAdNkbbickw6fKWtbeNM7T2rakg","6559KMdiUseNSAkRcK9WcFcNTppoj6jWtKVedpMkBYCn",37275955
"2VKu11f8zc3huqDQUN6WJTFpX32PgHpXXjf72P6YvYMd","EUiPhYZ8NoWX5ZzDh2cRR1fAS4su9jjV3YE7veyactzd",119047464
"2XmhZKHmfjku3T3nC9xKhgr5bm1CAmWXqNsNt49mo82C","Ebm1XKkMzaFg2L5rzLPBnFHMtpDPa6SWJ7nVUzZUmXmR",159493730
"2abwQG3v2xRemFxRszVHSfnjJNe9zu5X8duKgxjyLeaK","EogKVYgic8LKAuV1kR9nRqJaS5zpwCvSMfqoehzmAMpK",138695027
"2gDeeRa3mwPPtw1CMWPkEhRWo9v5izNBBfEXanr8uibX","3Xn3K5zeTzs4sURj1PCRaF6rvFg2hPgT49B4SiM998f7",221866770
"2icWF7TvxyycF7d1NHpMZYuJJqiRy2h7wmjFSbqUij1B","CzGLRXJXoDo9q86MpphPVNNsTgAxHvZfUfAiouWDH89M",42806719
"2kVZVTY8FMRZ3WuHzyqNz8qd4Ytbba9f9DaesUm5WLvR","4FsAxdHQ6HmFrDD7yCwsKNApuA67QYSCMoLAy3NfySxJ",64502929
"2nhGaJvR17TeytzJVajPfABHQcAwinKoCG8F69gRdQot","mNyQrNRYAuL2CwNCGmCsmwj9EcG88Sf8hs5rCirZaUr",47125444
"2t53LvZfskcpXkdwLaBnfZLbNgyVHPu2BNFpcRBaEBhM","Gvt8s5Bwnhg4G27VbnT1Zkfh7Jsztq6CNvZcc5anPonS",85509854
"2uxEHizFmmnLekKG2LZJwxNabhpymEYfdVCpgDxjt87m","Dcoj98wWiKhA4iqxcSg7NtuR2miA7tZqtycMdkPo8XDw",105332822
"2zykwzzo1pd3H2oSj5j5SRLTvmpa9Nr2S2Bh8tTVd5Tq","Hmq1oALENff8DejgYhJxB4njb6pyCtuMKKxotdZicB4n",170088507
"3B2mGaZoFwzAnWCoZ4EAKdps4FbYbDKQ48jo8u1XWynU","edu1fZt5i82cFm6ujUoyXLMdujWxZyWYC8fkydWHRNT",187115428
"3BeharBd3j4sKQp7Qze27JLQLd9AEEwGTX9TC7dXYSNw","CP6mfD4Qc5AYrboXBAQeHMYj5x1UnYksDXRjG7DMkHH7",90579044
"3C2cXXVHCm2w2EWnHUNxhtZCB2EMv2AeJ4TpW5ws18fi","HjQugFHAUm7XbaZhmjnGioNUccdMUnFmwFTJgepm5q3n",141938660
"3CKKAoVi94EnfX8QcVxEmk8CAvZTc6nAYzXp1WkSUofX","4MU64AyHBkRBUAYgAm91sP5vFgzUUgFHuS82CVhE8Q2Q",85842642
"3DaPk6TdeGnEBwTR8fEyZSLkdayk6vZXrqGZhAgYK8BV","2ZiMfQaT59j86HVWCvspuMtBotnVBeTc3BKk3kKpwgKP",190892858
"3Pfubj3ytkRxFAGwFb5vtacuZJUxko5Du39xie9MBXuC","94EhHE7MaKHq4p8oFADeyizDjwYwgFn1YBYGky8mR35z",206222661
"3RXKQBRv7xKTQeNdLSPhCiD4QcUfxEQ12rtgUkMf5LnS","BxFf75Vtzro2Hy3coFHKxFMZo5au8W7J8BmLC3gCMotU",291989393
"3Rv6ZVGUuRczP76322LyhTTYw2iM4avV4B5xFJocQJer","GaxxAn5335dA4U3772MCFeqdyqCVEfmsQTQ47YXfC2Xi",81787577
"3s97yjq2MhoPVPC3U9VeE3Z5S643Pweovg88ysvrQPw5","D3QPJm7BDzzPeRG51YZSEz3LfV7GvFNu9NkcibzURxuj",170432295
"3tm92VTxwyZ5MDhGoYR4tVTkwWYkzfam6hwBjauUACCk","4m1PbxzwLdUnEwog3T9UKxgjktgriHgE1CfAhMqDw7Xx",184508686
"3x9nibnhgBHWKMRiGnsXJELRBjviQpKyigfrXtKW27KJ","5afRnmkFn1pRU9oussqwk1RRBVyoDgUkL16Jz4qNf574",42170389
"43Am3PKFeo9cACpqYL5Sk95rpVdxLw3Mc22PqRqZXEW2","EBVj3uwSKZpqEb1K267JaPxDQhULVqCy6hYeQqjsPh81",262558788
"451X5rboJpJtXK2gj4dLsXv8yCGfujqus2HsYjMkkSpE","FqERCVEHjm9P9hghJwWbyN4TqwCCAYteeX1v6gBtt88p",0
"49j9bnkdgVNxLwsZ9h88sPR5MYEmsUyKrrJ6ZW8ijBrb","9QFvZhLvpbcFJTPkKq5wTWR2DGTXqrsP8z9igPgjSsZ1",105147000
"4GEEKSwuiBHWTff9WaqrDcToZjbX6KYdyB4c578Zxse2","4GEEKSwzc242QKF1uzzodpFaxb4GShQEZhkZfeXd27Vi",51635114
"4SgoyAwN26iu9Gpf12Bk1rnzp4G4yDUM3XVv4w7VQcAf","sdo2QoiSsPknraeCts5GeBkV3AYDdtuxJ3VpYCS1CxR",110758516
"4VrjyXQT61WFSjuG3ehgqZUK1jqvYqB46veQbXLotq3n","FahWJg2PkphJaMUUCzdYhXkD5NngUuuFRFD3YCE3BSwb",152473990
"4W3jdXyqhLCjzA3Liu8ZNjViwrc6N9YjSB7obbxfjcKE","3hhEWRNAVzqRjmF9hW5nYkrmDMxKKzGziE11Sg7yk3iX",64021555
"4XspXDcJy3DWZsVdaXrt8pE1xhcLpXDKkhj9XyjmWWNy","9sWYTuuR4s12Q4SuSfo5CfWaFggQwA6Z8pf8dWowN5rk",190098758
"4YGgmwyqztpJeAi3pzHQ4Gf9cWrMHCjZaWeWoCK6zz6X","8jxSHbS4qAnh5yueFp4D9ABXubKqMwXqF3HtdzQGuphp",43957203
"4aRPyjsqqFsf5488a9QAaHJLQJMGwoL5P6wRtLmroe2d","8EVaZkBcoJAAyyRZfozNAnZiEopgPvnixx5Ja5PpVDae",64861558
"4b1onMDEasBh4BuPekQWijx3BYR64hAE1z2jJyeZUkck","6anBvYWGwkkZPAaPF6BmzF6LUPfP2HFVhQUAWckKH9LZ",72205378
"4k6wgP5WPBKQpsFGtzuXNrjcTE2fKWLj17nDvFeG5zSF","8zuMRTXThoPTTPLLvaiKiJshLLCqGMt9BdRjjCL19xBc",202476393
"4mtXJ5pUcMMB4t8cLbi7zfDJCHfYLRrQb4qSLmh57sKL","94qeNkhspb7DjuqNPcGUgVcnnsNuibGYuqNTvm9FnX9m",754001651
"4mzLWNgBX67zVwTykNnq96Z6KQLc8UyV5Q35EfVCDifC","8inoRcYLtHdDL1qHWvGph7pkJKuJdrE2kNkFpjcYaYHf",68771879
"4uH4G6YiD5G8rU3mtPg73C2Uqamrqedy3FboTZcZrh6x","EJHf5N9is5spAF5Kz384tTvTV3CwTka6qzUoZrYm53SV",136667138
"4vXCtYfPeracuQg3a67Zx4jvtJco6MU3LKip8ax6GkVq","EPrq1DvsWqX9CHBKgMU7gxvNvPbqRLhbqz2QzHcPFzab",0
"4vdWYn2KbmQ3Dns5wVBfz4CFQDds4b7CpsC8MHBhHAib","DvFTFLrEQSfEadPQdesvf5bpYWYqXK9iaJAjq95piQBs",84692816
"5HYjArGt81naevDdwMaEx8yeGNw9jYBSDJa8YavT9Mp4","4ibf8qJirtoBGg7gSD7V7CeCKoFB96PBYQ3J5QjSmAob",248167170
"5LNEDitSMhApT2uFnmtN7FmjCiGuatpnb2uU4f3shrk","ksQuu3JAStVXUeDCHeW6QtVRHNMcdtgPyepUd3Yshrk",13859193
"5N8rWeZbNWLJDYTohNfpH4JAXiPhnicVYKrucW1shrk","MWogB4b5RamyKE4mur8a8iRy63gZqyDfDF7ebDdshrk",9432635
"5N9r2ne7dPgHtzeHC5ETJ3DAueKQiXSU8KAmEZrrojT7","H7fXvnLCKtZqJBTipxeseabGfAZUdHJ9XuP6hCKrbvUb",14672101
"5XKJwdKB2Hs7pkEXzifAysjSk6q7Rt6k5KfHwmAMPtoQ","GMpKrAwQ9oa4sJqEYQezLr8Z2TUAU72tXD4iMyfoJjbh",80510795
"5aD6KB8g4MPt3xJafmMmun86hHMDnoFiGbd5gYiMFZw7","QWmexgr4teHa2ZF85tyf2hvEwBvJ6ioAEr1h8DRjoie",174472118
"5ghoFEVrsXeAPB6SUmBpZ2xq3KvHEjNMeSaBnxEBXkHV","J6KaKtLRj7eQGuVVL2CAz1AS9kDxsrmej9QbYkEtsiAD",30550991
"5ivRNcK1yThcK3koZR1oikAfuNm6rj1LceMskayoVSzc","GiJj4MFyM4sCQ1aYQRQA9tqwtZFoaBdSxgNitWjHc2o9",204585389
"5marvipGzf98hxnoJFXsZbGHSXcEQ3yRGJ4ps7D3V4ou","i6PZjkPHGYmPfPE8LsJuLn5huZyusXhmysiDiHGPjxb",162335413
"5t4shVsKnUqgjmhK3fFNsvyju2E6Rd7cc4S5pmqqEVEW","sT34kbaqmHWbPwjhyeG1GnjoX82KpXawFsnzUkzJpYX",50521029
"5ysfTZ42VT1TjnjzQShZSrix7wdVtjXwssocSeYKDs5d","ExYX8UKQTCf2VPtV9jbfqikeTV6tPfhzauJ896o91wtj",156499087
"5zm9g3zgAPWzX3wmUB2JtTkcwCqe74NWsTmt5wLFwCKK","4udPrmxccbP1NwDJ6vChFKs5qcqyjmQff6gsKXD1mdaj",222812368
"5zuNci3TV79w6zLoJZzbZujMvkVZb2FcSPhgv9aT24AK","76DafWkJ6pGK2hoD41HjrM4xTBhfKqrDYDazv13n5ir1",282413379
"61QB1Evn9E3noQtpJm4auFYyHSXS5FPgqKtPgwJJfEQk","5iZ5PQPy5Z9XDnkfoWPi6nvUgtxWnRFwZ36WaftPuaVM",103079002
"6M53yM6dsE6hiaHgxWvYa4fsfzQTGyAZn7rM6JrzbqJV","DierScgiTrz5AM7mddeJLHYNvafym3XhjjdM51AnKevU",249236346
"6MiEjXqYksCtKnJpvAp3CAoEZnnWZyoSxu41HCzAYNdc","GAoCBDE9ABRYmhWUREDp4po4L8JgCPeQsPS77p1mx3WR",524734739
"6NDen7aDi65apHo8m1Vea4nuS6LyjQeM6pDNqcW4Q5Pg","6cvBCfFXugkTqgSFVPvzhoWaLbhHWvZfSsZadWP5rryR",103221052
"6PvHaibtZhuba14dzbhGFJRASYX3Ka2oviRzSbXV2wYC","HM5H6FAYWEMcm9PCXFbbiUFfFVLTN9UGy9AqmMQjdMRA",381903977
"6Rk694kh1QTyQkirdb1uDZmS5xqG9bNaYtxx8d311Mr7","AnodeNCzJGQ7QwheFqJr6EknKGa72m6XHiLtDQiXcmEc",68539163
"6WgdYhhGE53WrZ7ywJA15hBVkw7CRbQ8yDBBTwmBtAHN","6aow5rTURdbhbeMDrFrbP2GR5vZjMEhktEy87iH1VGPs",1296128312
"6YDWxPaJWpZxJ6JLGaBeTJaGQn3gi3Pwtivii9cDyDHo","EdkhvJYa3kWQkFJAPzmGsQyi1D2JA5a7vwWw4hDuwbt",52606165
"6c6RrC9TWNgiVXnbZ6hehNuhyh81pZK1yAj5w2nXZTwi","5eJQDSbgTZSEmH3zSWDEdAKgjavUUn9BkouCFNLz1x93",124606936
"6dpdFgXyTGFTQkefKNTx6qgqwGEQa9GE1msghJTZoxQJ","HVAeVitGdEinQZdKBMKRwALYEqrAPjAPjFA2LuqBJ4oc",2705436
"6dtVKjb6vRwNAekki2FXhKv8WTNzQ3xW6HWMCNWqtoDy","eondcw2upjH14EuvBzmn6HfGEGo8t9hG9JbXtPj6cym",2851179
"6gL3uHvuUjaPp9mTBf2VZ4tpKiYhbWyPrAPboGByzEHd","8mu3JHHF1Qkcrbqjo6KWxyWvTxarZjqptJTokR2jrDFo",130166815
"6gnbmed7kzwQVQ7ghsjgEuCoYmGeWciV2qCwni6WS6HU","DTwEEF6VSrmTBYkDcj3BKAc52qhvP8CEQUEAMMT1cG3",43050404
"6k1YkmTKwPRUhChnxA9ryJmbtuQMbro4xFTL6mL9jycB","91413b9eEvG6UofpSgwdUgH9Lz4QBF1G3J325Bw7JwGR",112453177
"6mCzwUFcdTuz6fFJRA8nY1iXNRJqPpXU1PvCfANfVXhh","2juzdQw3k2udsuA2JfkXk4Aw4psZEAnnk4sBHzwC5ZX7",75522362
"6qwYjs5vCSEKaTMBbHinnW8fvdGj1r8cpzPoAV1EHKsw","Azc2uttGtHsRLorfQzd7tsMNtfaEg7LyvVEMVtckPCNN",150454527
"6xFDLX751L7H9d5fQT9sf2SM5RWWE9LDgqz25pPDbWoJ","5CBkJdDPMWCmss3Y48B36w78Bgxur4mDib6tQ9yMKe1B",111127916
"6xUK9Nbonr4eoJNtHGoUEMmYKoPz5mipKzyDBv6deX4d","8vyuJTHSDkx7k1zymea4TMsgvixf3rCYBXHPDQajePkE",112290022
"6yFGGAgYpBxgYPuHW4rv7hJmhKrUiXKyHkpVGaYtKrwE","9jYFwBfbjYmvasFbJyES9apLJDTkwtbgSDRWanHEvcRw",468094649
"73hojLdq1vZDSxeVQEqVFJ4iwLngdvEJPEpEHkSdv6BZ","Ehdn9LdjTAURQSMoDPERXLehtvzy7QD762wwPkzGT7RS",152544387
"7Hp1e6BrTBkbBN4wFiNmycPVPsjvyUUBL2tGhYEMT6gt","CwSZ17woioM2bqEbaswZJYvx5pemN6t3shBcU6zqPHyG",235950528
"7Nn8qBJey7vXtVFMNBbbuN8UkujU8Y6nWzbHVGuf49yV","6SF5cmEXFFEmnFd5BwM4J6NkZhh3WfPkgmqdoAGjLLPX",140589290
"7Nu9ckgtjobZ3MkbadGFKEvRymYuah9HmcxiUJKMM9NB","DPhzpiNGU9C6576uLsNSHmdi2AxwxpjMsRdh2iVC4TPh",86884738
"7PpXQgDb9eCHN1Uudgi77Wm89cRz4T85YgDw83qvaJXd","B8Jud6Mqv1FSKpjBM2hPBqoPhGMAciX2UqR9WcepDF7F",163908670
"7VZM7YHcX73TpGoXDeBu61g4QKC86GwAEnew8dA7Y2xn","HMk1qny4fvMnajErxjXG5kT89JKV4cx1PKa9zhQBF9ib",224152286
"7ZjHeeYEesmBs4N6aDvCQimKdtJX2bs5boXpJmpG2bZJ","8sdFdnuKsY5KvpEU7gPi7qH1fP5DdYWfDhiF7NLjtaX8",50413762
"7knvB4bbqHCKuNp3ef2hJWdwqoH6WAUi55NQt6LdRfkx","D4mLBafAJjpRABT5Tyj6UhuwJ8DLRk74JzyuTMUdU9Fz",53422990
"7nzTzRZzezmugqE5ZjHRMxarhXunpwZ2PUdjV7uYzt7A","so1arJJbp9sis5XpovLyjTZPk8bDjfs37Meghi5wXbu",55893118
"7tqeaFKsg2K9xKnQWe61w71AtCZVMQvG4hbFAiFAngYw","4CjWMmjGtRAZH6unY8EAzDYHWKUoPKqkZoFNrgxSGnyc",511106869
"82vucuWCTTQEz6nYe3VetnL3pJYBrfDF2gDAjec9sPUy","DLKjd8DJc9NajCaHPeQL6BnhPi3a4BZm7zCdVF3MzDRZ",394784208
"84gC25fbFKYueR9WEfreUysk1n3ZFxLFDDjbyqeqGpoW","FpTQXdt7NjYsJWXaE9UgG2yPUshoFiW3nzXbXKz1CjKh",860892366
"8AkVj5aAtJ27tYXeq89cnSf68V43NarFHMx2iSDjZv7c","CV7uvPY1Hk5Avb2NvkGJoUzGnipZrEZK27j5rQJoUae9",135713166
"8GLRbAstsabZuZUx73AoyfGi1FRCWSUhRgMugFyofEz7","7PmWxxiTneGteGxEYvzj5pGDVMQ4nuN9DfUypEXmaA8o",140356112
"8Nvaxzif1NrdvxNkRetjT8xJvd33EHkKVrfL8EDkgaNy","2DNGsVZ9rg6RvT8bY4SGmGvyiVJ4xt9RL3NDd6uhfN46",397713031
"8T8AJfUCXwPFwEMmjca8gCRSktPrqbUBVa6ggNyhLhFJ","DPsW8v7gkGUbPPRnraS5e163bDepd9tD537X9S231T2j",365676251
"8Yq98CFAorqAc3CN7XtMVgKLrBc78wsBvjhAbFr4sNQ5","EGg6LTZDgV9CgpPZnpTTzmebSSyaH91cQ2eoiDxiJPvm",69754131
"8ZQg3K1V1Z2BVJkjmnxpi43WKhjPGXphzu5QmBkJibSP","7qTwituXJJ5dtUwBZXjMNgtAyXJbx3X8V4B9gXFRjK9d",165598507
