"pubkey","votekey","stake","commission","mev_commission","inflation","mev_rewards","block_rewards","dz_fee"
"HEL1USMZKAL2odpNBj2oCjffnFGaYwmbGmyewGv1e2TU","he1iusunGwqrNtafDtLdhsUQDFvo13z9sUa36PauBtk",13249363.5663559,0,0,1389.199320709,90.293320237,333.783061234,16.6891530617
"DRpbCBMxVnDK7maPM5tGv6MvB3v1sRMC86PZ8okm21hy","3N7s9zXMZ4QqvHQR15t5GNHyqc89KduzMP7423eWiD5g",11623658.9445741,2,10,3424.456274364,84.304172435,296.066358791,14.80331793955
"Fd7btgySsrjuo25CJCj7oE7VPMyezDhnx7pZkj2v69Nk","CcaHc2L43ZWjwCHART3oZoJvHLAe9hzT2DJNUpBzoTN1",9722905.98119089,7,7,1156.608085397,88.565530355,241.071861666999,12.05359308335
"DtdSSG8ZJRZVv5Jx7K1MeWp7Zxcu19GD5wQRGRpQ9uMF","CvSb7wdQAFpHuSpTYTJnX5SYH4hCfQ9VuGnqrKaKwycB",9310328.24818673,5,25,1131.133928742,212.345325775,216.229835155,10.81149175775
"5pPRHniefFjkiaArbGX3Y8NUysJmQ9tMZg3FrFGwHzSm","DdCNGDpP7qMgoAy6paFzhhak2EeyCZcgjH7ak5u5v28m",9032606.27219162,5,100,1523.618840037,242.279190265,239.675944585,11.98379722925
"q9XWcZ7T1wP4bW9SB4XgNNwjnFEJ982nE8aVbbNuwot","26pV97Ce83ZQ6Kz9XT4td8tdoUFPTng8Fb8gPyc53dJx",8797951.02438044,7,7,1244.570292399,76.620765127,216.370590976,10.8185295488
"JupmVLmA8RoyTUbTMMuTtoPWHEiNQobxgTeGTrPNkzT","CatzoSMUkTRidT5DwBxAC2pEtnwMBTpkCepHkFgZDiqb",6565350.20784787,0,0,199.454706034,162.889808075,170.457535966,8.5228767983
"CW9C7HBwAMgqNdXkNgFg9Ujr3edR2Ab9ymEuQnVacd1A","6D2jqw9hyVCpppZexquxa74Fn33rJzzBx38T58VucHx9",6263091.80747209,8,8,924.323408607,59.582580601,151.499070296,7.5749535148
"Awes4Tr6TX8JDzEhCZY2QVNimT6iD1zWHzf1vNyGvpLM","DumiCKHVqoCQKD8roLApzR5Fit8qGV5fVQsJV9sTZk4a",6222733.26575789,0,8,780.979263237,128.670900851,157.452365273,7.87261826365001
"EvnRmnMrd69kFdbLMxWkTn1icZ7DCceRhvmb2SJXqDo4","9QU2QSxhb24FUX3Tu2FpczXjpK3VYrvRudywSZaM29mF",5934501.4057975,7,100,908.667089322,106.524134764,151.740600773,7.58703003865001
"9jxgosAfHgHzwnxsHw4RAZYaLVokMbnYtmiZBreynGFP","HZKopZYvv8v6un2H6KUNVQCnK5zM9emKKezvqhTBSpEc",5399014.47347392,100,100,1930.327571038,153.579549979,153.694144729,7.68470723645
"9rkJMARqK6VBkcxGfKBAwnA44gPAfGxPbPsfsggFNDSQ","HimWQUK61d9wxhw7EYu9jUje7xQiDs4jKexaTSvuCmXE",4739306.11058256,8,8,816.083815683,53.126735576,140.896175289,7.04480876445
"EkvdKhULbMFqjKBKotAzGi3kwMvMpYNDKJXXQQmi6C1f","3ZYJxzCeweSoh2Jj7oCgencFs9y27iKmXJeqYapje1cj",4592739.02390352,100,100,1660.289744973,48.559198175,119.838447367,5.99192236835
"FBKFWadXZJahGtFitAsBvbqh5968gLY7dMBBJUoUjeNi","AZoCYB4VgoM9DR9f1ZFcBn8xPSbtbqoxZnKJR7tkvEoX",4584229.11154141,100,100,1639.012752498,51.857363473,106.583093641,5.32915468205001
"CAo1dCGYrB6NhHh5xb1cGjUiu86iyCfMTENxgHumSve4","51JBzSTU5rAM8gLAVQKgp4WoZerQcSqWC7BitBzgUNAm",4467252.80594199,10,10,1386.8169998,29.269700175,108.565725558,5.4282862779
"BtsmiEEvnSuUnKxqXj2PZRYpPJAc7C34mGz8gtJ1DAaH","G9x1mqewTeVnXLmv3FamYD5tq1AdS395RHH3MLQPj6TY",4415679.37911945,100,100,1578.751822489,76.64852225,102.774249484,5.1387124742
"Hz5aLvpKScNWoe9YZWxBLrQA3qzHJivBGtfciMekk8m5","H74qox1GASBWd94FWMyy6GVAbRVLf9SAMgbJ1tzSUAst",4128354.07844078,100,100,1478.080384632,70.429847851,100.874070046,5.0437035023
