pubkey,votekey,dz_fee_lamports_859,dz_fee_lamports_860,dz_fee_lamports_861,dz_fee_lamports_862,dz_fee_lamports_863,dz_fee_lamports_864,dz_fee_lamports_865,dz_fee_lamports_866,dz_fee_lamports_867,dz_fee_lamports_868,dz_fee_lamports_869,dz_fee_lamports_870,dz_fee_lamports_871,dz_fee_lamports_872,dz_fee_lamports_873,dz_fee_lamports_874,dz_fee_lamports_875,dz_fee_lamports_876,dz_fee_lamports_877,dz_fee_lamports_878,dz_fee_lamports_879,dz_fee_lamports_880,dz_fee_lamports_881,dz_fee_lamports_882,dz_fee_lamports_883,dz_fee_lamports_884,dz_fee_lamports_885,dz_fee_lamports_886,dz_fee_lamports_887,dz_fee_lamports_888,dz_fee_lamports_889,dz_fee_lamports_890,dz_fee_lamports_891,is_paid_859,is_paid_860,is_paid_861,is_paid_862,is_paid_863,is_paid_864,is_paid_865,is_paid_866,is_paid_867,is_paid_868,is_paid_869,is_paid_870,is_paid_871,is_paid_872,is_paid_873,is_paid_874,is_paid_875,is_paid_876,is_paid_877,is_paid_878,is_paid_879,is_paid_880,is_paid_881,is_paid_882,is_paid_883,is_paid_884,is_paid_885,is_paid_886,is_paid_887,is_paid_888,is_paid_889,is_paid_890,is_paid_891
12i8gndWWWMTRzJBFhnYkobNgZB3XMUUJq75HeUrshrk,Cw2b2ng2fa78ndCXHcJMT1pqvdGxUHu5EBEB8KBshrk,9612798.0,20244385.0,18286472.0,7927077.0,8320413.0,30353319.0,27396721.0,10717055.0,10907219.0,57806345.0,33170124.0,6948089.0,19820597.0,46608351.0,27640707.0,16670424.0,7927092.0,32715197.0,4176720.0,27116068.0,40630735.0,39383766.0,7998018.0,11714227.0,32209326.0,20302431.0,35997465.0,24673519.0,23408818.0,19927327.0,18961700.0,24767504.0,27859176.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No
13DmVBcyrSdsSsLWaKH9x1dwxDf48Wu5wprwxMmLshrk,GLB3jUr5zuu79zFuEH3KP7boxtWsjHVyYRBK2SPshrk,11564067.0,25902037.0,56192422.0,25588075.0,23757280.0,13900777.0,9018280.0,15625463.0,18338882.0,8375576.0,10319485.0,18155143.0,18881205.0,34713661.0,12068530.0,4555193.0,24261750.0,11770329.0,19723675.0,39873729.0,23224398.0,8259584.0,11355097.0,16791038.0,23018161.0,23410738.0,37617420.0,18693392.0,9311826.0,42494254.0,39068527.0,23232817.0,43830894.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No
1KXvrkPXwkGF6NK1zyzVuJqbXfpenPVPP6hoiK9bsK3,1KXz4xKV2viJCGpxqnQqdf2J45vQr5USdmtcJLTaHkm,328141616.0,319067256.0,217649038.0,387258521.0,243029455.0,291182344.0,330965296.0,287703201.0,360173658.0,287488530.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108945953.0,127992301.0,148930160.0,133858562.0,179493834.0,174039888.0,173934092.0,175846119.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
1Link6hB1NpkCwJt3ZtpQKZszKauhEcKgiWjaU8PRDG,1LinkCP4qUqGvUiNuAWhAxQyopdBxsh4vhfLBb4apyR,8461212.0,21413335.0,7259730.0,3421885.0,11769188.0,18638771.0,6781232.0,6165603.0,19413143.0,16224774.0,7562676.0,14439891.0,20327656.0,22709270.0,5451615.0,10986681.0,45802394.0,8941852.0,6426714.0,29458052.0,15279482.0,25966529.0,18738254.0,37488761.0,11290487.0,8800830.0,21102329.0,26880811.0,10843883.0,29069499.0,14200760.0,16469360.0,39746057.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No
1i1yPyh843bTfi5qPgqozTbDcEX65rUNEFcUT2KAs2i,1i1yax3thZfiV8id5HTA61bjsxEi4pbjmhXsqy6JePP,177454935.0,119107238.0,125902398.0,157573445.0,145343108.0,171308504.0,99642158.0,129367838.0,175619927.0,194046088.0,118255771.0,132705591.0,143571731.0,207294261.0,129826398.0,329901631.0,199095572.0,215791244.0,227447191.0,107165098.0,177786255.0,136729439.0,146884871.0,102811862.0,71696178.0,46875132.0,100908404.0,114120548.0,61586701.0,124584820.0,80681126.0,72358842.0,55550048.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
23SUe5fzmLws1M58AnGnvnUBRUKJmzCpnFQwv4M4b9Er,4PsiLMyoUQ7QRn1FFiFCvej4hsUTFzfvJnyN4bj1tmSN,261931660.0,271158639.0,178389511.0,310603667.0,225476952.0,296887290.0,274079271.0,213302718.0,371399534.0,249686953.0,168705246.0,336950560.0,319224649.0,340385336.0,288889325.0,241494722.0,328061638.0,308554774.0,420786168.0,316111009.0,350024449.0,214811240.0,263336966.0,265556107.0,209033113.0,296570978.0,244776035.0,303423131.0,195630019.0,259010286.0,5056641215.0,254594378.0,220307909.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No
2AKKnirWVZMhnzuwqpizw9SwfZjGpRFLx2zCCNtPWpbc,CHiaohVV2SQCFhiYP73iQzWT6HxnZqnAZJJqAYTeLAo,158968012.0,136571148.0,120219813.0,289906615.0,184474925.0,134377690.0,159121269.0,128856334.0,269747199.0,199947727.0,142019292.0,207539036.0,263716162.0,280510507.0,150722614.0,238441960.0,217914748.0,141480288.0,228565444.0,190839959.0,155486227.0,88289912.0,102408218.0,109084829.0,105087885.0,126265236.0,132467597.0,123326213.0,108432730.0,171179384.0,150132721.0,161680840.0,148147691.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No
2Eq6YD8P8QXTeoz9h6JHjgZ55t8RSxNdx4waMDCoPmQU,C8MLmDCg3LReWoNCkFdHgsscFpHx2WdtcU9ZziNfXrhd,31578222.0,37052508.0,27622989.0,55463331.0,28316113.0,50707696.0,40312784.0,35942518.0,27303613.0,41278672.0,46759829.0,63890441.0,54874766.0,23944889.0,24402199.0,81131453.0,48878019.0,29741300.0,55147864.0,37123295.0,31418000.0,47243328.0,33228662.0,47177786.0,23540175.0,39025553.0,31165658.0,33127459.0,39014610.0,24629157.0,29816452.0,27920775.0,32917336.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
2Le6TjeEescF87qDA8Ftdz6U8Kq6SNVwoLJLhzBCHUr5,Fe5zMqkmoYbwnXH9RHjFy7YMRnak9so2bzPBroPJ4iiX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15555673.0,3294576.0,4306857.0,15036735.0,6634431.0,18683726.0,13967149.0,15082206.0,4777344.0,15571190.0,13306280.0,10377047.0,14248290.0,21130886.0,6649993.0,25007748.0,8139591.0,6526504.0,37573262.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2N7v8pDKDYhtBUJBQUgxvysUjgM9s4ULPCmeEiPWTf6Z,F3scMRjzSvXUa7JoK2uwBjNsYGi5sM84sDzE7FfGBo6o,91021414.0,82809409.0,57142645.0,104900533.0,107479683.0,120592381.0,139668651.0,123331095.0,87440325.0,110483917.0,75866314.0,117915002.0,133663842.0,162355512.0,153442251.0,169791936.0,163258427.0,147730813.0,149764095.0,139192558.0,118904357.0,109275637.0,111166845.0,133311872.0,102410049.0,89798385.0,105691265.0,101118501.0,119635746.0,164047173.0,162554548.0,144265038.0,193886910.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
