pubkey,votekey,dz_fee_lamports_926,dz_fee_lamports_927,dz_fee_lamports_928,dz_fee_lamports_929,dz_fee_lamports_930,previous_fees,paid_926,paid_927,paid_928,paid_929,paid_930,previous_paid
12i8gndWWWMTRzJBFhnYkobNgZB3XMUUJq75HeUrshrk,Cw2b2ng2fa78ndCXHcJMT1pqvdGxUHu5EBEB8KBshrk,0,0,0,0,0,1564738515,NA,NA,NA,NA,NA,601277195
13DmVBcyrSdsSsLWaKH9x1dwxDf48Wu5wprwxMmLshrk,GLB3jUr5zuu79zFuEH3KP7boxtWsjHVyYRBK2SPshrk,0,0,0,0,0,1814749643,NA,NA,NA,NA,NA,517956401
14GtGcdikcK33tFBhedZ4rYTHcTpWveCxLXvR3Ydx9zS,3aEjXz1cQwMMk5sMA73Ev1RcaYzknQNFPkZx7jYeDEqS,885470077,0,0,0,0,5581707618,Yes,NA,NA,NA,NA,5581707618
1KXvrkPXwkGF6NK1zyzVuJqbXfpenPVPP6hoiK9bsK3,1KXz4xKV2viJCGpxqnQqdf2J45vQr5USdmtcJLTaHkm,202996928,389842338,272992006,331966223,283660064,12394960649,Yes,Yes,Yes,Yes,No,12394960649
1Link6hB1NpkCwJt3ZtpQKZszKauhEcKgiWjaU8PRDG,1LinkCP4qUqGvUiNuAWhAxQyopdBxsh4vhfLBb4apyR,0,0,0,0,0,932965129,NA,NA,NA,NA,NA,497116539
1i1yPyh843bTfi5qPgqozTbDcEX65rUNEFcUT2KAs2i,1i1yax3thZfiV8id5HTA61bjsxEi4pbjmhXsqy6JePP,117461860,130679505,156587481,125664230,89246642,8835673297,Yes,Yes,No,No,No,8835673297
23SUe5fzmLws1M58AnGnvnUBRUKJmzCpnFQwv4M4b9Er,4PsiLMyoUQ7QRn1FFiFCvej4hsUTFzfvJnyN4bj1tmSN,231198933,387178913,398630314,476406943,285171762,25824035488,Yes,Yes,Yes,Yes,No,20767394273
2AKKnirWVZMhnzuwqpizw9SwfZjGpRFLx2zCCNtPWpbc,CHiaohVV2SQCFhiYP73iQzWT6HxnZqnAZJJqAYTeLAo,215742024,316159677,288226846,217631097,156125291,10762281495,Yes,No,No,No,No,10762281495
2Eq6YD8P8QXTeoz9h6JHjgZ55t8RSxNdx4waMDCoPmQU,C8MLmDCg3LReWoNCkFdHgsscFpHx2WdtcU9ZziNfXrhd,145410755,215452305,139310239,141258473,118168944,5129507445,Yes,Yes,Yes,Yes,No,5129507445
2Le6TjeEescF87qDA8Ftdz6U8Kq6SNVwoLJLhzBCHUr5,Fe5zMqkmoYbwnXH9RHjFy7YMRnak9so2bzPBroPJ4iiX,92938779,59873105,77519373,33204160,30876072,2581845574,No,No,No,No,No,0
2N7v8pDKDYhtBUJBQUgxvysUjgM9s4ULPCmeEiPWTf6Z,F3scMRjzSvXUa7JoK2uwBjNsYGi5sM84sDzE7FfGBo6o,265866566,240782532,216013080,193941587,369094917,14534297087,Yes,Yes,Yes,Yes,No,14534297087
2NeqnzhgQBUEyMdWyVAXJjCYA3E2UTYXVdqutSQ27h17,CRank3fb5Nbi7AHEPCZyNQookwAzHZfsgwgRU7DEA1GS,0,0,0,0,0,6580928,NA,NA,NA,NA,NA,0
2P9ZYA4vBoBBr56hrEFTmrd5ctuz3r7wtvRYmbgk6jRL,FGtsnE1HB4bBi6g4xAt5mvWtuC3qBPWPBgWVrnRmUiVH,221500194,251239956,213954293,598029789,280256902,11358529016,Yes,Yes,Yes,Yes,No,11358529016
2Rv9npqdWE1mLPsT1r2obn3xtKmA5afkxt8GsWeLnKoc,BrRf2kyJEuW8TgdeDjvJcKK4NzTzRtM9RB6WuVKXHxkN,154109675,183652440,197401477,354762957,196431672,10043553091,Yes,Yes,Yes,Yes,No,10043553091
2UBhtRuyr9nvWsUnrbWrvJiYWEU8TVBD4PLYQJKiRa9H,Luna8BkZNpZ9DKmszrZYPvFpTr4eJJfxxTnGDwTrYkv,253840229,210306555,195760008,182141792,171271542,7525819559,No,No,No,No,No,2461199230
2Ue9zGmDnvYRrJNEjuAdNkbbickw6fKWtbeNM7T2rakg,6559KMdiUseNSAkRcK9WcFcNTppoj6jWtKVedpMkBYCn,16907854,9081573,12863509,4294790,9509948,2571155687,No,No,No,No,No,1099622326
2VKu11f8zc3huqDQUN6WJTFpX32PgHpXXjf72P6YvYMd,EUiPhYZ8NoWX5ZzDh2cRR1fAS4su9jjV3YE7veyactzd,94008887,141056093,161051542,126393275,98661744,5691891191,Yes,No,No,No,No,5012861131
2X7WoaXX9KPqNrNfvguhnwo3rjFPNsfw2t75fGjWRthz,BmMVRAVef2qmJ1tJpG3JwRUtnfEiTbvDw9ZeFEi4wE7D,107692158,166697090,142584274,147606606,74278104,3011840419,Yes,Yes,Yes,Yes,No,3011840419
2XmhZKHmfjku3T3nC9xKhgr5bm1CAmWXqNsNt49mo82C,Ebm1XKkMzaFg2L5rzLPBnFHMtpDPa6SWJ7nVUzZUmXmR,153111083,158674325,261705987,288240313,219584354,14251818783,Yes,Yes,Yes,Yes,No,14251818783
2abwQG3v2xRemFxRszVHSfnjJNe9zu5X8duKgxjyLeaK,EogKVYgic8LKAuV1kR9nRqJaS5zpwCvSMfqoehzmAMpK,75634730,130230138,83427756,97631977,105003675,6319522807,Yes,Yes,Yes,Yes,No,6319522807
2gDeeRa3mwPPtw1CMWPkEhRWo9v5izNBBfEXanr8uibX,3Xn3K5zeTzs4sURj1PCRaF6rvFg2hPgT49B4SiM998f7,252789865,319260398,369922562,366059928,353140135,17707033183,Yes,Yes,Yes,Yes,No,17707033183
2iXZmNQmmgE5ZeTQ1GMhhYGDqDr2BiqdEu3DbGJDo8MA,2ViVhbfV3uJb5xVBBBs4HZaoMK1M2WhHJB1sRDnp8R4o,0,0,0,0,0,647938108,NA,NA,NA,NA,NA,434696318
2icWF7TvxyycF7d1NHpMZYuJJqiRy2h7wmjFSbqUij1B,CzGLRXJXoDo9q86MpphPVNNsTgAxHvZfUfAiouWDH89M,103174122,128101993,162260134,238910957,236319679,5078073448,No,No,No,No,No,0
2kVZVTY8FMRZ3WuHzyqNz8qd4Ytbba9f9DaesUm5WLvR,4FsAxdHQ6HmFrDD7yCwsKNApuA67QYSCMoLAy3NfySxJ,554511499,476729936,745257760,568734017,340713863,11724433035,Yes,Yes,Yes,Yes,No,11724433035
2m1A2WM1vte7RWz5xTTw4i1SiXmngVtXhqFERaUjoAAb,8wTSPukwTAzNzEYyUdc8UiKkTg1hNtZ1xLum7o1Ne6wr,3501619673,4319624051,5437951979,4665944554,5058596993,114829038046,Yes,Yes,Yes,Yes,No,114829038046
2nhGaJvR17TeytzJVajPfABHQcAwinKoCG8F69gRdQot,mNyQrNRYAuL2CwNCGmCsmwj9EcG88Sf8hs5rCirZaUr,143351215,132337285,149444228,127123512,115041706,5317555455,Yes,Yes,Yes,Yes,No,5317555455
2oHUYyW2PU9VJh4XBs5TbGgzdernunvGqyKth3kxW4ns,6tgtejPHUHR1pECzXqQT8EHZqnKCWZFSqdZXDyBaKe3b,476340008,360861059,428844074,460318517,356409005,883372371,Yes,Yes,Yes,Yes,No,883372371
