"pubkey","votekey","stake","commission","mev_commission","inflation","mev_rewards","block_rewards","dz_fee"
"DRpbCBMxVnDK7maPM5tGv6MvB3v1sRMC86PZ8okm21hy","3N7s9zXMZ4QqvHQR15t5GNHyqc89KduzMP7423eWiD5g",14377409.4453302,1,10,5014.090117837,50.978012724,209.833160664,10.4916580332
"HEL1USMZKAL2odpNBj2oCjffnFGaYwmbGmyewGv1e2TU","he1iusunGwqrNtafDtLdhsUQDFvo13z9sUa36PauBtk",12935026.7957211,0,0,4551.795640843,40.523591131,191.486467529,9.57432337645
"JupmVLmA8RoyTUbTMMuTtoPWHEiNQobxgTeGTrPNkzT","CatzoSMUkTRidT5DwBxAC2pEtnwMBTpkCepHkFgZDiqb",11122471.6237843,0,0,3801.730416328,137.349451573,171.228073411,8.56140367054999
"Fd7btgySsrjuo25CJCj7oE7VPMyezDhnx7pZkj2v69Nk","CcaHc2L43ZWjwCHART3oZoJvHLAe9hzT2DJNUpBzoTN1",10230857.4006165,7,7,3493.5310398,35.437110727,156.246558148,7.81232790740001
"q9XWcZ7T1wP4bW9SB4XgNNwjnFEJ982nE8aVbbNuwot","26pV97Ce83ZQ6Kz9XT4td8tdoUFPTng8Fb8gPyc53dJx",8674321.46947796,7,7,2990.250443431,30.108649018,124.193929958,6.20969649789999
"DtdSSG8ZJRZVv5Jx7K1MeWp7Zxcu19GD5wQRGRpQ9uMF","CvSb7wdQAFpHuSpTYTJnX5SYH4hCfQ9VuGnqrKaKwycB",8660195.64507973,5,25,3012.553114826,108.778555078,137.345768551,6.86728842755
"5pPRHniefFjkiaArbGX3Y8NUysJmQ9tMZg3FrFGwHzSm","DdCNGDpP7qMgoAy6paFzhhak2EeyCZcgjH7ak5u5v28m",8400370.88928052,5,100,2986.2953869,110.894905896,135.65325371,6.78266268549999
"JD549HsbJHeEKKUrKgg4Fj2iyv2RGjsV7NTZjZUrHybB","3JD3jMmnR6g88qff2WZ3cMHJRjJMUk9yVZtmYTYeFrXf",6851073.59023103,0,0,2379.358933154,87.09239121,109.89628862,5.494814431
"Awes4Tr6TX8JDzEhCZY2QVNimT6iD1zWHzf1vNyGvpLM","DumiCKHVqoCQKD8roLApzR5Fit8qGV5fVQsJV9sTZk4a",6433797.01497143,0,0,2178.04246462,69.166225676,93.1556404129998,4.65778202064999
"EvnRmnMrd69kFdbLMxWkTn1icZ7DCceRhvmb2SJXqDo4","9QU2QSxhb24FUX3Tu2FpczXjpK3VYrvRudywSZaM29mF",5824200.01265629,7,100,2053.44414339,39.340045313,91.660255517,4.58301277585
"9jxgosAfHgHzwnxsHw4RAZYaLVokMbnYtmiZBreynGFP","HZKopZYvv8v6un2H6KUNVQCnK5zM9emKKezvqhTBSpEc",5449014.47347392,100,100,1899.751953313,65.030560505,82.131321389,4.10656606945
"9rkJMARqK6VBkcxGfKBAwnA44gPAfGxPbPsfsggFNDSQ","HimWQUK61d9wxhw7EYu9jUje7xQiDs4jKexaTSvuCmXE",5059476.36515525,8,8,1757.723528092,20.94973047,70.613560459,3.53067802295
"CAo1dCGYrB6NhHh5xb1cGjUiu86iyCfMTENxgHumSve4","51JBzSTU5rAM8gLAVQKgp4WoZerQcSqWC7BitBzgUNAm",4590999.50202953,10,10,1594.333679269,17.463195351,64.221257892,3.2110628946
"BkoS26vBuaXnSowACdChi4WKid8UwmuPNhEJWa8KsLHd","CKYFpKErmUn75nS3uNcNCPXUxWSpuBqbwMM3QnwPEFHX",4361090.12233125,8,8,1514.79489634,17.129307386,54.652320382,2.7326160191
"EkvdKhULbMFqjKBKotAzGi3kwMvMpYNDKJXXQQmi6C1f","3ZYJxzCeweSoh2Jj7oCgencFs9y27iKmXJeqYapje1cj",4244114.44905647,100,100,1483.736864556,18.936040932,57.3923684740001,2.8696184237
"FBKFWadXZJahGtFitAsBvbqh5968gLY7dMBBJUoUjeNi","AZoCYB4VgoM9DR9f1ZFcBn8xPSbtbqoxZnKJR7tkvEoX",4145166.97949235,100,100,1461.992469236,38.827053952,60.1004483199999,3.005022416
"BtsmiEEvnSuUnKxqXj2PZRYpPJAc7C34mGz8gtJ1DAaH","G9x1mqewTeVnXLmv3FamYD5tq1AdS395RHH3MLQPj6TY",4123217.32056551,100,100,1439.455888826,23.847630535,54.282357911,2.71411789555
"CW9C7HBwAMgqNdXkNgFg9Ujr3edR2Ab9ymEuQnVacd1A","6D2jqw9hyVCpppZexquxa74Fn33rJzzBx38T58VucHx9",3913229.57783317,8,8,1359.000791684,19.558297063,53.747440732,2.6873720366
"Hz5aLvpKScNWoe9YZWxBLrQA3qzHJivBGtfciMekk8m5","H74qox1GASBWd94FWMyy6GVAbRVLf9SAMgbJ1tzSUAst",3880609.14851695,100,100,1330.870932862,21.245107906,50.9193923620001,2.5459696181
"VymDdiepH77edNcNcKBKtRUb3gbQPtPyGh5NLcWaynj","8Pep3GmYiijRALqrMKpez92cxvF4YPTzoZg83uXh14pW",3777174.98339034,0,100,200.082658644,11.039991658,57.85139704,2.892569852
"9UM8wQ8F5oMiRcP5YdqD6Lr4krpBWCD8LtgQYoisJd9i","9jToNMWCLW1GeoLGPZNvEfuXE4AUwiRsrC1HMGmh3PTu",3717523.55816707,2,2,1144.926411896,14.402521527,46.1959210279999,2.3097960514
"5EhGYUyQNrxgUbuYF4vbL2SZDT6RMfhq3yjeyevvULeC","iZADA4YKVRJZJaDUV3j79DzyK4VJkK3DGTfvvqvbC1K",3598006.06366002,100,100,1254.411638364,27.565258433,47.941076873,2.39705384365
"GoeW4aFK4dGoekJySgUynWDxBZiQJqm8GDAF4H53tDK9","Ak5BJzQe2R8qFuyYmaAFPjXuD7XPux3ZNTv52D7rfiqR",3479297.51359527,10,10,1186.450214496,38.405031845,49.246674866,2.4623337433
"BUv44cVtsdvU9z2BfFGk6s5JZZWrmVnq5qCaii5ARyyB","6jzDwKeR21EFHwaRgZMefMxJ9D2vnQRqfYxkpUuJppPh",3390969.92585248,100,100,1182.169126838,8.808330376,55.190147501,2.75950737505
"5Cchr1XGEg7dbBXByV5NY2ad8jfxAM7HA3x8D56rq9Ux","GHViLgbrJdZDPb6sphRbeuPNM9cmjsFuGWzrTF1sKF5n",3304484.99936158,100,0,1143.884212414,0,46.600714946,2.3300357473
"Fc6NNdS2j3EmrWbU6Uqt6wsKB5ef72NjaWfNxKYbULGD","2tucttroqFNXsrYeMBQ8LfzKNfgwT2rHBzAF6RzbbHEp",2963212.55106481,5,8,1047.076429909,7.09345258,42.962104157,2.14810520785
"6y7V8dL673XFzm9QyC5vvh3itWkp7wztahBd2yDqsyrK","7xENfwKCajMB5aVTgmTB6h7d7Su91wTcnfMjoAQCMvKq",2916667.65537848,100,100,1016.869579073,7.816008404,40.467117529,2.02335587645
"krakeNd6ednDPEXxHAmoBs1qKVM8kLg79PvWF2mhXV1","KRAKEnMdmT4EfM8ykTFH6yLoCd5vNLcQvJwF66Y2dag",2878405.17466703,10,10,1000.081282296,7.550465224,39.213450117,1.96067250585
"DWvDTSh3qfn88UoQTEKRV2JnLt5jtJAVoiCo3ivtMwXP","FKsC411dik9ktS6xPADxs4Fk2SCENvAiuccQHLAPndvk",2646813.27799083,7,8,908.947031649,39.312459454,36.673621412,1.8336810706
"FNKgX9dYUhYQFRTM9bkeKoRpsyEtZGNMxbdQLDzfqB8a","AaVsZUEnrHUZoXC2oVgTY3GF5GGhzCTBGrjpBtuUWy1H",2590915.82121506,8,8,1554.043747876,26.377510278,62.26597575,3.1132987875
"DDnAqxJVFo2GVTujibHt5cjevHMSE9bo8HJaydHoshdp","9GJmEHGom9eWo4np4L5vC6b6ri1Df2xN8KFoWixvD1Bs",2587482.70758271,2,2,898.650199651999,10.589243057,41.643563935,2.08217819675
"FzQqaDStQQHs52YKeCnDovwSqvyZBCgs2kJcmvoFZwaS","BkSS8kGUNcQkTgEKMmBhHxGVLdzw43EAzDYpZqyyxFrT",2535490.42354615,100,100,883.745394149,5.562977018,36.182001407,1.80910007035
